id,brand,customer_text,intent,risk,human_reply_ok
g080,Spotify,My music keeps stopping,playback,0,1
g081,Spotify,My music keeps playing quietly,playback,0,1
g082,Spotify,My music keeps sounding bad,playback,0,1
g083,Spotify,My music keeps cutting out,playback,0,1
g084,Spotify,My music keeps playing slowly,playback,0,1
g085,Spotify,My music keeps losing audio,playback,0,1
g086,Spotify,My music keeps distorting,playback,0,1
g087,Spotify,My music keeps not playing,playback,0,1
g088,Spotify,My music keeps dropping,playback,0,1
g089,Spotify,My music keeps starting over,playback,0,1
g090,Spotify,My music keeps going silent,playback,0,1
g091,Spotify,Can Spotify work offline?,product_question,0,1
g092,Spotify,Can Spotify play on a speaker?,product_question,0,1
g093,Spotify,Can Spotify download music?,product_question,0,1
g094,Spotify,Can Spotify use on a TV?,product_question,0,1
g095,Spotify,Can Spotify share a playlist?,product_question,0,1
g096,Spotify,Can Spotify work abroad?,product_question,0,1
g097,Spotify,Can Spotify support podcasts?,product_question,0,1
g098,Spotify,Can Spotify play without data?,product_question,0,1
g099,Spotify,Can Spotify connect to a car?,product_question,0,1
g100,Spotify,Can Spotify offer lyrics?,product_question,0,1
g101,Spotify,Can Spotify work on my watch?,product_question,0,1
g102,Spotify,Can Spotify include audiobooks?,product_question,0,1
g103,Spotify,Can Spotify support multiple devices?,product_question,0,1
g104,Spotify,Can Spotify have a free tier?,product_question,0,1
g105,Spotify,Can Spotify play with Bluetooth?,product_question,0,1
g106,Spotify,How can I get the student plan?,plan_eligibility,0,1
g107,Spotify,How can I get the family plan?,plan_eligibility,0,1
g108,Spotify,How can I get the discount plan?,plan_eligibility,0,1
g109,Spotify,How can I get the duo plan?,plan_eligibility,0,1
g110,Spotify,How can I get the annual plan?,plan_eligibility,0,1
g111,Spotify,How can I get the Premium plan?,plan_eligibility,0,1
g112,Spotify,How can I get the new plan?,plan_eligibility,0,1
g113,Spotify,How can I get the cheapest plan?,plan_eligibility,0,1
g114,Spotify,How can I get the student discount plan?,plan_eligibility,0,1
g115,Spotify,How can I get the family plan?,plan_eligibility,0,1
g116,Spotify,How can I get the trial plan?,plan_eligibility,0,1
g117,Spotify,How can I get the available plan?,plan_eligibility,0,1
g118,Spotify,How can I get the eligible plan?,plan_eligibility,0,1
g119,Spotify,How can I get the upgrade plan?,plan_eligibility,0,1
g120,Spotify,How can I get the switch plan?,plan_eligibility,0,1
g121,Spotify,My playlist is missing,content_issue,0,1
g122,Spotify,My podcast episode is missing,content_issue,0,1
g123,Spotify,My saved song is missing,content_issue,0,1
g124,Spotify,My album is missing,content_issue,0,1
g125,Spotify,My download is missing,content_issue,0,1
g126,Spotify,My liked music is missing,content_issue,0,1
g127,Spotify,My episode is missing,content_issue,0,1
g128,Spotify,My playlist is missing,content_issue,0,1
g129,Spotify,My song is missing,content_issue,0,1
g130,Spotify,My podcast is missing,content_issue,0,1
g131,Spotify,My library item is missing,content_issue,0,1
g132,Spotify,My artist is missing,content_issue,0,1
g133,Spotify,My track is missing,content_issue,0,1
g134,Spotify,My show is missing,content_issue,0,1
g135,Spotify,My music is missing,content_issue,0,1
g136,Spotify,I need a refund for this charge,payment_dispute,1,0
g137,Spotify,I need a charge for this charge,payment_dispute,1,0
g138,Spotify,I need a payment for this charge,payment_dispute,1,0
g139,Spotify,I need a subscription charge for this charge,payment_dispute,1,0
g140,Spotify,I need a duplicate charge for this charge,payment_dispute,1,0
g141,Spotify,I need a unknown payment for this charge,payment_dispute,1,0
g142,Spotify,I need a money for this charge,payment_dispute,1,0
g143,Spotify,I need a billing for this charge,payment_dispute,1,0
g144,Spotify,I need a card charge for this charge,payment_dispute,1,0
g145,Spotify,I need a purchase for this charge,payment_dispute,1,0
g146,Spotify,I need a renewal for this charge,payment_dispute,1,0
g147,Spotify,I need a unexpected charge for this charge,payment_dispute,1,0
g148,Spotify,I need a transaction for this charge,payment_dispute,1,0
g149,Spotify,I need a subscription for this charge,payment_dispute,1,0
g150,Spotify,I need a fee for this charge,payment_dispute,1,0
